Job Title,Company,Location,Education,Experience,Deadline
গ্রাফিক্স ডিজাইনার,Prince Bazar Ltd.,মিরপুর,Diploma in Graphics design/ graduation in any discipline,2 to 4 year(s),"
5 Sep 2023"
Customer Service Agent,Babuland Limited,Banani,Graduate or Running Student form any discipline.,0 to 1 year(s),"
5 Sep 2023"
সহকারী শিক্ষক : (প্রাথমিক শাখা),Alikadam Cantonment Public School And College,বান্দরবান,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
সহকারি শিক্ষক (বাংলা),Alikadam Cantonment Public School And College,বান্দরবান,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
সহকারী শিক্ষক (গণিত),Alikadam Cantonment Public School And College,বান্দরবান,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
Senior Executive/ Assistant Manager (Marketing and Sales),Dreesh Architects,Anywhere in Bangladesh,Bachelor of Arts (BA) in markettingBachelor`s Degree in Business and Marketing or any other ...,Na,"
5 Sep 2023"
"Executive, Sales & Marketing",WW Tech Ltd.,Dhaka,Bachelor degree in any discipline,At least 2 year(s),"
5 Sep 2023"
সিভিল ইন্সট্রাক্টর,CTC POLYTECHNIC INSTITUTE,চট্রগ্রাম সদর,"At least 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,t 2 year(s)
অ্যাসিস্ট্যান্ট প্রফেসর,CTC POLYTECHNIC INSTITUTE,চট্রগ্রাম সদর,"At least 10 year(s)
                                                        






 Deadline: 

5 Sep 2023",null, 10 year(s)
Deputy Manager/ Manager - HR & Admin,Radisson Digital Technologies Ltd.,Kawran Bazar,Master of Business Administration (MBA) in HRMBachelor of Business Administration (BBA) in ...,5 to 10 year(s),"
5 Sep 2023"
Business Development (Sales & Marketing) - Deputy Manager/Manager,Radisson Digital Technologies Ltd.,Kawran Bazar,Master of Business Administration (MBA) in MarketingMasters in any discipline.Graduation from ...,At least 5 year(s),"
5 Sep 2023"
Personal Secretary to Managing Director,Radisson Digital Technologies Ltd.,Kawran Bazar,"Bachelor degree in any disciplineSkills Required: MS Word/ Excel/ PowerPoint/ OneNote, ...",5 to 10 year(s),"
5 Sep 2023"
Asst. Manager/Deputy Manager,BANALATA LANDMARK LTD,Dhaka,Bachelor degree in any discipline,2 to 6 year(s),"
5 Sep 2023"
অফিস সহায়ক,CTC POLYTECHNIC INSTITUTE,চট্রগ্রাম সদর,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
প্রভাষক (ইলেকট্রিক্যাল),CTC POLYTECHNIC INSTITUTE,চট্রগ্রাম সদর,"At least 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,t 2 year(s)
Dyeing Operator,ZHONGXIN TEXTILE (BD) LTD.,Anywhere in Bangladesh,JSC8 pass,At least 2 year(s),"
5 Sep 2023"
Dyeing Technician,ZHONGXIN TEXTILE (BD) LTD.,Gazipur Sadar,SSC/HSC/ Diploma,At least 2 year(s),"
5 Sep 2023"
Executive- Sales & Marketing,ZHONGXIN TEXTILE (BD) LTD.,Gazipur Sadar,Bachelor degree in any discipline,At least 2 year(s),"
5 Sep 2023"
