Job Title,Company,Location,Education,Experience,Deadline
উপজেলা সুপারভাইজার (US),Concerned Women for Family Development [CWFD],"বাগেরহাট, বরিশাল, খুলনা","শিক্ষাগত যোগ্যতা- স্নাতক / স্নাতকোত্তর
অভিজ্ঞতা: পুষ্টি ও পরবিার পরকিল্পনা কার্য্যক্রম মাঠ পর্যায়ে ...",Na,31 Aug 2023
Paramedic,Concerned Women for Family Development [CWFD],"Bagerhat, Khulna","Paramedic/ Diploma in Midwife/ Diploma in Nursing science Midwifery/ Medical assistance
Related ...",Na,31 Aug 2023
AGM / Sr. Manager (Dyeing),A Reputed Company (100% Knit Garments),Anywhere in Bangladesh,Must be Textile Engineering background.,At least 8 year(s),31 Aug 2023
Fashion Designer (Men`s Wear),Lubnan Trade Consortium Limited,Gulshan,Minimum Graduate in Fashion Design,At least 2 year(s),31 Aug 2023
Surveyor (Land),MEDISON MEDICAL SERVICES LIMITED,Banani,Master of Law (LLM),2 to 3 year(s),31 Aug 2023
Team Lead;  Branding & Digital Marketing,BRACNet Limited,Dhaka,"Bsc in CSE/EEE/IT
Graduate in any discipline",At least 3 year(s),31 Aug 2023
Customer Support Executive,Asiatic Marketing Communications Limited,Banani,"HSC, Diploma in Engineering, Bachelor degree in any discipline",Na,31 Aug 2023
Executive - QAD (Finishing Section),Pacific Jeans Limited,Chattogram,Masters degree in any disciplineBachelor degree in any disciplineEducation qualification may be ...,4 to 6 year(s),31 Aug 2023
Senior Executive - QAD (Finishing Section),Pacific Jeans Limited,Chattogram,Masters degree in any disciplineBachelor degree in any disciplineEducation qualification may be ...,6 to 8 year(s),31 Aug 2023
Coordinator (Jr. Executive/Executive) - Sample,Pacific Jeans Limited,Chattogram,Graduate/H.S.C,At least 5 year(s),31 Aug 2023
"Assistant Teacher (English, General Subject), Asiya Bari Ideal School, Mothkhola, Kishoreganj",Bangladesh Digital Education Research Limited (bdeducation),Pakundia,"Master of Arts (MA) in English.
Master`s degree in any discipline from a reputed Public or Private ...",At least 2 year(s),"
1 Sep 2023"
Taylor / Embroider,7Color Uk Ltd,United Kingdom,"HSCDiploma in Embroidery Technology.
Diploma in Tailors Technology.",2 to 3 year(s),31 Aug 2023
Online Retail Garments Business Expert,Fashion Xpress,"Dhaka, DOHS Baridhara",Bachelor degree in any discipline,4 to 5 year(s),31 Aug 2023
শাখা ব্যবস্থাপক,Association for Realisation of Basic Needs - ARBAN,"কক্সবাজার, ঢাকা, গাজীপুর, নারায়ণগঞ্জ, পাবনা, পটুয়াখালী","At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
শাখা হিসাবরক্ষক,Association for Realisation of Basic Needs - ARBAN,"কক্সবাজার, ঢাকা, গাজীপুর, নারায়ণগঞ্জ, পাবনা, পটুয়াখালী","At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
